课题	负责人	单位	金额	类型	学科代码	开始时间	具体链接
应用脂质组学/代谢组学研究果蝇dAcsl影响个体发育缺陷的机制	税光厚	中国科学院遗传与发育生物学研究所	60.0万元	面上项目	C110501生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=812e821403bc
基于代谢组学和蛋白质组学联用技术的糖尿病并发肺结核的生物标志物和代谢通路研究	侯绍英	哈尔滨医科大学	57.0万元	面上项目	H2603医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=d0cb821e26a0
基于非靶向代谢组学探讨免疫介导性肠病湿热证实质及华重楼活性成分作用机制	吴静	南京中医药大学	41.0万元	面上项目	H2902医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=631b8292e50e
基于转录组和代谢组分析揭示白菜型冬油菜适应低温胁迫机制	方彦	甘肃农业大学	40.0万元	地区科学基金项目	C130405生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=28dc80901273
基于代谢组学研究策略的钼暴露致精子生成障碍的研究	陈敏健	南京医科大学	58.0万元	面上项目	H2607医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=4dc38148320f
基于代谢组学与转录组学探讨PFHxA致肝毒性的作用机理	蒋骊龙	香港浸会大学深圳研究院	25.0万元	青年科学基金项目	B060301化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=756c804005c4
基于“肠-肝轴”和代谢组学探讨黄芪散多靶点干预非酒精性脂肪肝的分子机制	李艳	深圳大学	21.0万元	青年科学基金项目	H2901医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=bd638122943a
基于代谢组指纹信息，挖掘海鞘共附生真菌的抗脑胶质瘤活性化合物	陈森华	中山大学	25.0万元	青年科学基金项目	D0609地球科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=0b6581925e16
基于纹理分析及NMR代谢组学的糖尿病肌少症骨骼肌干细胞早期损伤机制研究	邢栋	武汉大学	21.0万元	青年科学基金项目	H1801医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=739ae90904ac
基于生物信息学和高分辨质谱技术的代谢组深度注释新方法研究	路鑫	中国科学院大连化学物理研究所	66.0万元	面上项目	B040303化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=6e868001853b
内脏利什曼病小鼠模型的代谢组学研究及生物标志物筛选	袁冬梅	四川大学	21.0万元	青年科学基金项目	H1906医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=f7bf800446b7
基于谱效关系-代谢组学-网络分析平台探索半枝莲-白花蛇舌草治疗卵巢癌的配伍规律及其作用机制研究	张琳	大连医科大学	60.0万元	面上项目	H2903医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=c57ee97160cc
采用转录组及代谢组关联解析高山杜鹃典型花色形成的分子机制	杜会	中国科学院植物研究所	25.0万元	青年科学基金项目	C150303生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=ad30e9854833
基于转录组和代谢组学的团头鲂性早熟分子机制及其与生长发育之间的相互作用研究	高泽霞	华中农业大学	61.0万元	面上项目	C190201生命科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=f925804982ee
代谢综合征痰证不同脏腑病位的遗传学基础与代谢组学特征研究	高碧珍	福建中医药大学	57.0万元	面上项目	H2706医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=eec7805195cd
基于代谢组学研究五行音乐治疗脑卒中后抑郁的作用机制	林法财	南京中医药大学	22.0万元	青年科学基金项目	H2717医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=c66b81189263
基于代谢组学联合分子对接探讨芹黄素对胰岛素抵抗、血糖稳态的作用机制	李雪	上海交通大学	21.0万元	青年科学基金项目	H2603医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=4c6781233999
基于高分辨率原位代谢组与转录组解析菘蓝中木脂素苷糖基转移酶及功能研究	周洵	中国人民解放军第二军医大学	21.0万元	青年科学基金项目	H2801医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=1a00812e80b8
整合PK-PD和代谢组学技术解析丹参红花组分抗脑缺血再灌注损伤的配伍机制研究	何昱	浙江中医药大学	52.0万元	面上项目	H2705医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=5f2982186363
基于炮制化学-药效评价-代谢组学技术的酒苁蓉补肾阳作用增效机制研究	史辑	辽宁中医药大学	57.0万元	面上项目	H2805医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=e26d822450af
基于代谢组学的肿瘤标志物稳定识别新方法研究及实验验证	朱峰	浙江大学	57.0万元	面上项目	H3007医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=79c381539e7a
利用代谢组学揭示心肌缺血再灌注损伤过程中的类二十烷酸代谢特点及其作用机制	张栩	天津医科大学	25.0万元	面上项目	H0203医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=098982e221e6
基于代谢组学经时谱效关系融合网络药理学的血必净抗脓毒症药效物质发现及分子机制研究	张晓坚	郑州大学	56.0万元	面上项目	H2903医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=0db382e28762
基于靶向胆汁酸代谢组学探索实热证胆结石病发病预警信号	姜淼	中国中医科学院中医临床基础医学研究所	56.0万元	面上项目	H2902医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=99e382e782da
同位素标记定量代谢组学方法研究及在慢乙肝患者血清肝纤维化标志物筛选中的应用	陈德莹	浙江大学	22.0万元	青年科学基金项目	B040106化学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=7f20e940100b
基于“肾主骨生髓”理论及代谢组学探究右归饮干预激素型股骨头坏死作用机制的研究	刘锌	南京中医药大学	20.0万元	青年科学基金项目	H2710医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=b505e96288ec
基于肠道菌群与代谢组学的大黄防治肠缺血再灌注损伤的整体作用机制研究	代蝶	华中科技大学	21.0万元	青年科学基金项目	H2819医学科学	201901	https://www.medsci.cn/sci/nsfc_show.do?id=7cd5818e08af
基于肠道菌群及代谢组学解析白花蛇舌草干预结肠炎-癌转化作用机制	杨培民	山东中医药大学	56.0万元	面上项目	H2810医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=a528e04976ca
基于代谢组学的系统整合模式挖掘桂枝汤的药性配伍规律和性效关联的分子机制	霍海如	中国中医科学院中药研究所	55.0万元	面上项目	H2807医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=e0c0e14780bb
基于转录组和代谢组学分析研究西红花苷生物合成相关CYP450基因及调控机制	高广春	嘉兴学院	20.0万元	青年科学基金项目	H2803医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=b54c691191ed
基于代谢组学的“汗渍法”炮制苗药了哥王减毒机制研究	冯果	贵阳中医学院	34.0万元	地区科学基金项目	H2818医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=d52b693e5032
基于代谢组学的肝郁化火证多维整体性和动态演化性研究	韦姗姗	云南中医学院	20.0万元	青年科学基金项目	H2703医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=0241e22898d8
基于代谢组学技术及类风湿性关节炎大鼠模型的川乌白芍药对减毒增效机制研究	董辉	黑龙江中医药大学	20.0万元	青年科学基金项目	H2803医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=9abe6968224d
线粒体代谢组分析新方法的建立及在肝癌细胞研究中的应用	刘心昱	中国科学院大连化学物理研究所	25.0万元	青年科学基金项目	B050102化学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=eda868641374
基于蛋白质组学与代谢组学联用技术探讨桑叶治疗2型糖尿病作用机制及信号元件交互作用	赵保胜	北京中医药大学	55.0万元	面上项目	H2811医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=48b6684e246e
基于代谢组学研究复方血栓通防治糖尿病视网膜病变的组方规律	黄建梅	北京中医药大学	50.0万元	面上项目	H2819医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=f819e17357ec
儿童高血压代谢组学研究	席波	山东大学	130.0万元	优秀青年科学基金项目	H2606医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=483de18078fc
从单细胞代谢组学研究帕金森小鼠前额叶皮层中锥体神经元损伤的机制	朱德晓	青岛大学	20.0万元	青年科学基金项目	H0902医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=c7efe185848c
基于代谢组学和ROS代谢研究加压惰性气体对鲜切紫甘蓝花青素降解的调控作用及机理	孟祥勇	安徽师范大学	24.0万元	青年科学基金项目	C200601生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=01a4e1672165
整合动态生物网络与细胞代谢组学新策略研究大黄酸和姜黄素联用治疗肾纤维化的作用机制	向铮	温州医科大学	52.0万元	面上项目	H3010医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=e1eee1780766
基于细胞代谢组学对乳酸菌发酵大麦提取物的抗氧化活性研究	赵延胜	江苏大学	24.0万元	青年科学基金项目	C200402生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=db3ae23548fa
中药P-糖蛋白抑制剂的筛选及协同抗肿瘤机制的细胞代谢组学研究	刘志强	中国科学院长春应用化学研究所	60.0万元	面上项目	H3010医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=5ef1e2474697
基于转录组测序与代谢组学分析探讨干扰“瓦博格效应”对乳腺癌的影响	谢富华	赣南医学院	34.0万元	地区科学基金项目	H1602医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=b8c3e155138f
基于甲基化组、代谢组联合的大肠癌精准诊断生物标志物筛选的研究	王帆	哈尔滨医科大学	50.0万元	面上项目	H2610医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=8e7e69351e79
基于化学物质组和代谢组学方法探讨菊三七属降糖植物效应物质基础与作用机理的异同	李维林	江苏省中国科学院植物研究所	60.0万元	面上项目	C020601生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=e0c9e01178bc
基于宏基因组学和代谢组学的原发性胆总管结石复发风险预测模型的建立	叶福强	中国人民解放军南京军区军事医学研究所	22.0万元	青年科学基金项目	C060703生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=4661e021265c
基于“多维组合衍生化”和“同步选择性提取”的宽覆盖靶向代谢组学LC/MS分析新方法研究	许风国	中国药科大学	60.0万元	面上项目	H3010医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=c950e1027979
基于比较代谢组学研究二妙丸类方抗高尿酸血症整体作用机制与药效物质基础	陈君	中国药科大学	55.0万元	面上项目	H2803医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=06bce0857273
整合序贯代谢与代谢组学的藏药小檗膏口服防治DR的组分协同研究	赖先荣	成都中医药大学	55.0万元	面上项目	H2818医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=7a71e09247df
基于蛋白和代谢组学研究发酵肉制品中乳酸菌氧化胁迫应答机制及其抗氧化效果	孔保华	东北农业大学	61.0万元	面上项目	C200502生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=2613e094264c
鱼腥草次生代谢的化学生物地理学调查：挥发性代谢组分表型分异的环境驱动机制	杨占南	贵州师范大学	41.0万元	地区科学基金项目	D010104地球科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=4895e04441eb
基于代谢组学雷公藤治疗强直性脊柱炎药效特点和作用机理研究	陈文俊	南京中医药大学	20.0万元	青年科学基金项目	H2710医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=e900e0534339
基于活性追踪和代谢组学的蒙古扁桃抗肺纤维化的药效物质基础和作用机制研究	石松利	内蒙古科技大学包头医学院	35.0万元	地区科学基金项目	H2818医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=fed9e05979b9
类不平衡高维数据的统计建模及在代谢组学中的应用	付光辉	昆明理工大学	36.5万元	地区科学基金项目	A011103数理科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=a60769148e7d
基于骨髓间充质干细胞“归巢”的补肾活血化浊方调控Wilson病TX小鼠肝纤维化肝再生代谢组学研究	张娟	安徽中医药大学	55.0万元	面上项目	H2708医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=63d8692108f3
基于代谢组学的骨疏丹多组分、多靶点整合分析方法研究	熊志立	沈阳药科大学	52.0万元	面上项目	H3010医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=c71be15051a1
基于代谢组学的地黄饮子对双转基因痴呆小鼠生物标志物的影响	谢宁	黑龙江中医药大学	55.0万元	面上项目	H2705医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=f19ee15415e4
代谢组与转录组对肉桂醛抑制瘤胃Methanobrevibacter属甲烷菌机制的研究	林波	广西大学	39.0万元	地区科学基金项目	C170107生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=82d969511ef6
晚期肺腺癌基于代谢组学的化疗疗效预测模型建立及其相关机制研究	段建春	中国医学科学院肿瘤医院	20.0万元	青年科学基金项目	H1615医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=4c5069634978
基于谱效关系和代谢组学研究斑蝥肝毒性的毒效物质组成及致毒机理	李晓飞	遵义医学院	34.0万元	地区科学基金项目	H2817医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=15e669895520
DMBA诱发高脂饮食模式树鼩乳腺癌模型的比较代谢组学分析	郭松超	广西医科大学	39.0万元	地区科学基金项目	C040601生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=0fc568596e29
多菌体-石墨烯强化火凤凰修复原PAHs-Cd复合污染土壤中的调控技术及根际区生态代谢组学研究	刘睿	中国科学院沈阳应用生态研究所	64.0万元	面上项目	C031001生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=1c2c686835e7
基于核磁共振的代谢组学研究多脑区代谢通路参与帕金森病发生发展的机制	高红昌	温州医科大学	54.0万元	面上项目	H0912医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=2c816911e22e
基于代谢组学的黄芪山药药对治疗2型糖尿病的药效评价及作用机制研究	吴立蓉	广东药科大学	20.0万元	青年科学基金项目	H2705医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=f1f8e2006507
整合代谢组学与定性代谢流技术研究五子衍宗丸治疗少弱精子症的药效物质基础及作用机制	邹迪新	内蒙古医科大学	34.0万元	地区科学基金项目	H2705医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=bd6ce1587566
三氯生及其代谢物诱发肝病的质谱代谢组学研究	蔡宗苇	北京师范大学-香港浸会大学联合国际学院	64.0万元	面上项目	B0701化学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=37b7e1163226
基于质谱成像代谢组学的体内微区药物效应分析新方法研究	贺玖明	中国医学科学院药物研究所	56.5万元	面上项目	H3010医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=ee57e23791b0
基于微透析和代谢组学研究高乌甲素镇痛的神经化学机制	陈荣祥	遵义医学院	32.0万元	地区科学基金项目	H3101医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=7397e0558389
蛋白组学结合代谢组学研究工业大麻响应低钾胁迫的分子机制	程霞	昆明学院	38.0万元	地区科学基金项目	C130406生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=b62ee02623ad
基于肠道菌群靶点和代谢组学方法探讨枇杷叶新颖倍半萜改善T2DM胰岛素抵抗的作用研究	陈剑	江苏省中国科学院植物研究所	55.0万元	面上项目	H2803医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=6e61e08694d6
基于“NMR代谢组学”的新产玉米诱导肉鸡肠毒综合征发病机制研究	唐德富	甘肃农业大学	26.0万元	青年科学基金项目	C170106生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=0a8e6985266c
基于多模态MRI及靶向代谢组学探讨特发性正常压力性脑积水的发病机制研究	林光武	复旦大学	50.0万元	面上项目	H1802医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=57ff6950e5ce
动态代谢组指导的冰城链霉菌米尔贝霉素关键代谢途径改造	李珊珊	中国农业科学院植物保护研究所	60.0万元	面上项目	C1408生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=fe83e01402ea
基于DNA条形码和1H-NMR代谢组学技术的福建特色药材金线莲的基原鉴定与亲缘关系研究	吴锦忠	福建中医药大学	25.0万元	面上项目	H2801医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=eb11e20111fa
基于代谢组学和肠道微生态的核桃多酚降脂物质基础及作用机制研究	赵声兰	云南中医学院	34.0万元	地区科学基金项目	H2811医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=1718e237065b
基于代谢组学的中医治疗重症肺炎疗效的机制研究	王海峰	河南中医药大学	50.0万元	面上项目	H2708医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=bb1069333244
稳定同位素标记辅助的代谢组学技术研究双酚S暴露的促肥胖风险机制	曾珺	集美大学	25.0万元	青年科学基金项目	B070704化学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=2ef169e3532b
基于代谢组学研究栽培基质对铁皮石斛有效成分的影响机理	云永欢	中国热带农业科学院环境与植物保护研究所	25.0万元	青年科学基金项目	B0512化学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=889269e43008
基于代谢组学的灰葡萄孢菌多药抗性调控机制研究	刘鹏飞	中国农业大学	60.0万元	面上项目	C140501生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=c7e86889e0a9
基于1HNMR代谢组学的绝经综合征肾阴虚、肾阳虚证代谢标志物研究	刘宏奇	山西中医学院	25.0万元	面上项目	H2711医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=76bf689584f5
磺酰氯类物质衍生化的BPs-EM-NT定量靶向代谢组学UHPLC-MS/MS平台构建及其应用	高蓉	南京医科大学	50.0万元	面上项目	H2608医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=e71669102171
基于代谢组学的黄芪根瘤象取食胁迫下黄芪应答机制研究	张大为	甘肃省农业科学院	38.0万元	地区科学基金项目	C140206生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=428469485644
基于质谱多重联合技术的代谢组学整合方法筛选三阴性乳腺癌特异性生物标志物的研究	谭斌斌	深圳大学	20.0万元	青年科学基金项目	H2006医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=e35ce00425db
基于活性导向思路和代谢组学技术研究鞣花鞣质代谢物Urolithins的化学修饰及其代谢转运与调控	周本宏	武汉大学	60.0万元	面上项目	C020604生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=ec30e20777f7
基于直接质谱技术的蜂蜜及其主要掺假物代谢组学研究	罗丽萍	南昌大学	60.0万元	面上项目	C200701生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=eef6e2198854
火龙果色素合成代谢组分析及分子调控机制研究	文晓鹏	贵州大学	38.0万元	地区科学基金项目	C150103生命科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=a21be224853b
基于叶绿体基因组和植物代谢组学技术的南五味子药材基原分类与鉴定研究	魏雪苹	中国医学科学院药用植物研究所	20.0万元	青年科学基金项目	H2801医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=a355e226397d
基于“肾通于脑”理论和代谢组学技术研究左归降糖解郁方治疗糖尿病并发抑郁症的药效物质基础和作用机制	龙红萍	湖南中医药大学	20.0万元	青年科学基金项目	H2803医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=48b1e2459253
代谢组学与病证结合的自身免疫性肝炎诊断模式构建	浦仕彪	云南中医学院	33.0万元	地区科学基金项目	H2902医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=b46be10905a6
基于代谢组学与血清药物化学整体辨识波棱瓜子抗胆汁淤积药效物质基础及其作用机制研究	陈敏	西南大学	55.0万元	面上项目	H2818医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=c69ae08375cd
基于TRP/CGRP信号通路和微环境代谢组学探讨辛温止痛法治疗偏头痛机理研究	李慧	暨南大学	57.0万元	面上项目	H2708医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=7c9ee043228f
贵州省遵义市农村留守幼童的营养状况与代谢组学研究及干预措施评价	黄波	遵义医学院	34.0万元	地区科学基金项目	H0724医学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=4294e175228b
代谢组学应用于冠心病临床诊断的关键问题研究	易伦朝	昆明理工大学	64.0万元	面上项目	B0512化学科学	201801	https://www.medsci.cn/sci/nsfc_show.do?id=27b3e0194487
代谢组学数据高性能分析方法与整体策略研究	卢红梅	中南大学	65.0万元	面上项目	B0512化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=772c482068bc
杨树异源三倍体生长优势的代谢组机制	程世平	平顶山学院	20.0万元	青年科学基金项目	C1610生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c133483092ac
基于代谢组学的金、银纳米粒子细胞毒性分子机理研究	黄炎	东南大学	20.0万元	青年科学基金项目	C100604生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=7ece48338110
基于代谢组学和转录组学的酿酒酵母降解棒曲霉素的机制研究	朱瑞瑜	浙江科技学院	20.0万元	青年科学基金项目	C200702生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=3bd7484126f4
基于毒物分解动力学和代谢组学方法研究乌头生物碱中毒标志物	崔海燕	山西医科大学	17.0万元	青年科学基金项目	H2301医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=6d4450569151
基于代谢组学技术研究泽泻抗高脂血症的药效物质基础及其作用机制	苗华	西北大学	17.0万元	青年科学基金项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=072350e315c9
基于肠道微生态与代谢组学的藿香正气散改善湿困脾胃证的机制研究	龚梦鹃	广东药学院	18.0万元	青年科学基金项目	H2819医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=951850e44105
基于入血活性成分追踪和代谢组学研究走马胎抗肝癌的体内药效物质基础及其代谢机制	廖长秀	右江民族医学院	36.0万元	地区科学基金项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=b5755086297f
基于血清代谢组学的ALT低于2倍正常值慢性乙型肝炎抗病毒标志物筛选及功能学研究	黄海军	浙江省人民医院	51.0万元	面上项目	H2006医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=d37251094259
基于定量代谢组学分析指导的多杀菌素高效异源合成	刘天罡	武汉大学	62.0万元	面上项目	C010302生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=e1e9485811d4
外源激素诱导鹅掌草皂苷积累机制与关键调控基因挖掘的代谢组学与转录组学整合分析研究	韩林涛	湖北中医药大学	25.0万元	面上项目	C020601生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=320d486055a1
枯草芽孢杆菌代谢组分协同降解赭曲霉毒素A的机理	梁志宏	中国农业大学	63.0万元	面上项目	C200703生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=124048e66863
基于微生物组学和代谢组学的青贮饲料发酵调控理论基础研究	郭旭生	兰州大学	62.0万元	面上项目	C170204生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c58a4882084e
基于“肠道菌群-药动学-代谢组学”整体关联性的千金子炮制减毒机理研究	王英姿	北京中医药大学	57.0万元	面上项目	H2805医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=c1d951242427
金纳米材料的结构和生物学效应的代谢组学分析	王玉兰	中国科学院武汉物理与数学研究所	65.0万元	面上项目	B0504化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=083a482063b0
基于代谢组学研究微囊藻毒素MCLR诱导大鼠认知损伤的毒性效应及机制	何君	中国科学院水生生物研究所	18.0万元	青年科学基金项目	C031002生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=895348298820
基于代谢组学解析大气细颗粒物对呼吸系统损伤的分子机制	耿柠波	中国科学院大连化学物理研究所	22.0万元	青年科学基金项目	B070704化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=d2eb4805e0ab
野生与栽培罗汉果资源代谢组学比较与糖苷积累模式研究	郭文锋	广西壮族自治区农业科学院	39.0万元	地区科学基金项目	C020601生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=bd7b4850629f
基于药物代谢组学研究五味子治疗阿尔茨海默症的药效物质基础及作用机制	刘忠英	吉林大学	61.0万元	面上项目	C020604生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=f1654860e7a3
基于代谢组学的碲化镉（CdTe）量子点对小胶质细胞神经毒性机制的研究	唐萌	东南大学	60.0万元	面上项目	C100604生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=f02e486e556e
基于临床代谢组学推断代谢功能异常的生物信息学方法	唐凯临	同济大学	25.0万元	面上项目	C060704生命科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=70ef48e100e5
基于逆概率加权的食管癌高维动态代谢组数据分析及因果推断研究	张涛	山东大学	45.0万元	面上项目	H2611医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=d3c851209857
基于谱效学和代谢组学的朝鲜淫羊藿干燥机制研究	路金才	沈阳药科大学	57.0万元	面上项目	H2801医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=3a2c5123e5d9
基于肠道菌群与代谢组学技术的广陈皮降血脂效应物质基础与作用机制研究	刘鄂湖	中国药科大学	52.0万元	面上项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=ffd85123960d
基于动态代谢组学的广西瑶山甜茶降糖作用机制研究	郑华	广西医科大学	40.0万元	地区科学基金项目	H2818医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=9a28508684d7
基于糖皮质激素代谢组学研究客观化诠释柴胡疏肝散“疏肝解郁”的作用机制	吕永宁	华中科技大学	57.0万元	面上项目	H2901医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=b3075125420f
基于呼出气代谢组学的肝衰竭“肝臭”中医嗅诊辨证客观化研究	王睿林	中国人民解放军第三０二医院	52.0万元	面上项目	H2902医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=f64451263384
基于“NMR代谢组学”的围绝经期综合征肝郁与肾虚的证候学基础研究	李灿东	福建中医药大学	66.0万元	面上项目	H2706医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=5e96512e096d
基于不同碘营养地区人群的甲状腺癌代谢组学生物标志物筛选研究	范丽珺	哈尔滨医科大学	17.0万元	青年科学基金项目	H2401医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=6d4650685269
基于代谢组技术的菊叶“清肝明目”功效物质基础及生物学机制研究	魏丹丹	南京中医药大学	17.0万元	青年科学基金项目	H2803医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=cb0950e3178d
基于蛋白组学和代谢组学研究慢性高原病HAPH症的机制及香青兰干预后的作用靶点研究	迪丽努尔·买买提依明	新疆医科大学	36.0万元	地区科学基金项目	H2818医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=873e50868241
基于代谢组学和蛋白组学的朝医方“千金文武汤”治疗糖尿病肾病机制研究	郭建鹏	延边大学	36.0万元	地区科学基金项目	H2818医学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=b5cd5086969b
小儿呼吸道合胞病毒肺炎的代谢组学数据解析方法的筛选和优化研究	周燕平	华中师范大学	30.0万元	面上项目	B0512化学科学	201701	https://www.medsci.cn/sci/nsfc_show.do?id=44a348195354
