课题名称	批准号	学科分类	项目负责人	职称	单位	金额	项目类别	研究期限	中文主题词	英文主题词	中文摘要	英文摘要	
滨海湿地土壤微生物驱动氮素转化与消除研究	51708340	污水处理与资源化 ( E080402 )	孔强	副教授	山东师范大学	25.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	生态净化；湿地；氮；微生物	Ecological purification;Wetland;Nitrogen;Microorganism	滨海湿地土壤微生物驱动的氮转化与消除对维持滨海地区和近岸海域水环境中氮素水平，缓解氮素污染起着重要的作用。针对滨海湿地土壤微生物驱动氮转化过程中需要深入认知氨氧化过程Comammox菌生态学特征和硝酸盐还原过程氮素消除主要途径的问题，本项目拟选取位于我国近岸海域水体无机氮污染显著的黄河三角洲滨海湿地作为研究区域，对其主要湿地类型进行连续三年采样。系统运用分子生物学与稳定同位素示踪技术，分析滨海湿地土壤氮转化微生物数量分布与群落特征，明确滨海湿地Comammox菌种类组成和丰度，解析滨海湿地土壤微生物驱动硝酸盐还原过程反硝化、Anammox和DNRA三个途径的转化速率与可能存在的协同、竞争等相互作用关系，掌握滨海湿地土壤微生物驱动氮素消除的主要通路，揭示滨海湿地土壤氮转化微生物对环境因子的响应机制。结合滨海湿地土壤微生物驱动氮素消除的潜力，为滨海地区氮素减排和近岸海域水污染控制提供科学支撑。	"Soil microbe-driven conversion and elimination of nitrogen in coastal wetlands play an important role in maintaining the nitrogen level and mitigating nitrogen pollution in coastal and offshore waters. During the process of nitrogen transformation in soil microbes in coastal wetlands, it is necessary to deeply understand the ecological characteristics of Comammox bacteria in ammonia oxidation process and main ways to eliminate nitrogen in nitrate reduction process. We selected the coastal wetlands of the Yellow River Delta, which are located in the coastal waters of China, as the target research area. The main types of wetlands in the area for 3 consecutive years would be sampled to quantitatively analyses the distribution and community characteristics of microbes involved in nitrogen conversion in coastal wetland soils. Furthermore, using molecular biology and stable isotope tracer technique, the species composition and abundance of Comammox bacteria in the coastal wetland system would be clarified. And then the conversion rates of denitrification, Anammox and DNRA pathways of soil microbe-driven denitrification in the study area would be analysed. The possible cooperative or competitive relationships among these three pathways that might drive denitrification, as well as master the main pathway of nitrogen removal by microorganisms in coastal wetlands would be further considered. The mechanisms by which nitrogen conversion by soil microbes respond to environmental factors in coastal wetlands as well as the potential of soil microbes to drive nitrogen pollution in coastal wetlands would be revealed. Our findings would provide baseline data for future work to reduce nitrogen levels in coastal areas and control pollution in coastal waters."	
哈萨克族肥胖儿童口腔与肠道微生物群落相关性研究	81760194	牙体牙髓及根尖周组织疾病 ( H1404 )	赵今	主任医师	新疆医科大学	34.00万元	地区科学基金项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	哈萨克族儿童；肥胖；口腔和肠道微生物群落；高通量测序；细菌多样性	Kazak children;Obesity;Oral and intestinal microflora;High-throughput sequencing;Bacterial diversity	肠道主要菌群比例失衡在儿童肥胖发生过程中发挥重要作用，口腔作为消化道的入口，也是肠道微生物的“储存库”，口腔微生物可移位定植到肠道并影响肠道微生物变化，本课题利用16S rDNA高通量测序和实时荧光定量PCR方法对哈萨克族3-5岁肥胖和正常儿童口腔、肠道微生物群落行定性和定量分析，全面探索肥胖/正常儿童口腔和肠道微生物群落组成谱与多样性差异，识别可能与哈萨克学龄前儿童肥胖症相关关键菌属，揭示肥胖可能与肠道菌群和口腔菌群存在的相互关系。研究包括：1.建立哈萨克族学龄前儿童肥胖/龋病流行病学资料库及牙菌斑、唾液、粪便生物标本库。2.研究哈萨克族肥胖/正常儿童口腔微生物群落组成谱与多样性差异。3.鉴定哈萨克族学龄前肥胖/正常儿童口腔和肠道核心菌群，比较哈萨克族学龄前肥胖/正常儿童口腔和肠道微生物群落同源及差异性，对微生物群落代谢途径进行预测分析，探讨口腔和肠道核心微生物群落与肥胖症的相关性。	"The imbalance of main microflora in the gut plays an important role in the process of children's obesity. As the entrance of the digestive tract, oral cavity is accounted as a ""repository"" of intestinal microflora, and oral microflora can be shifted to the gut, changing the colonization of intestinal microflora. To explore the constitution and the diversity of oral and intestinal microflora, the qualitative and quantitative analyses were conducted in Kazak obesity and normal children who aged between 3-5 years-old using 16S rDNA high-throughput sequencing and real-time fluorescent quantitative PCR techniques of dental, salivary and fecal samples, analyzing the correlation between oral and intestinal microflora. Three part of content is included in this study: 1. Establishing the obesity and dental caries epidemiological databases and biological samples library (dental plaque and saliva, fecal) in Kazak children. 2. Exploring the constitution and the diversity of oral and intestinal microflora between Kazak obesity and normal children who aged between 3-5 years-old. 3. Identification and comparing homologous of oral and intestinal microflora of Kazak obesity and normal children, analyzing the difference and correlation and making a predictive analysis of the metabolic pathway of the microbial community."	
祁连山硫铁矿尾矿微生物多样性变化及其生态修复试验研究	31860163	生物多样性 ( C031201 )	薛林贵		兰州交通大学	40.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
矿山酸性废水真核微生物多样性与群落功能研究	31870111	极端环境及其他环境微生物学 ( C010504 )	黄立南		中山大学	59.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
微生物-电极界面生物电催化还原二氧化碳的纳米强化机制	21872117	生物电化学 ( B020407 )	吴雪娥		厦门大学	65.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
湖泊甲烷氧化过程微生物群组多物种共存机制	91751111	水生环境微生物学 ( C010502 )	邢鹏	副研究员	中国科学院南京地理与湖泊研究所	80.00万元	重大研究计划	2018 年 01 月 01 日 至 2020 年 12 月 31 日	淡水微生物；共生微生物；产甲烷菌和甲烷氧化菌；生物地球化学循环；未培养微生物	Freshwater microbes;Consortium;Methanogens and methanotrophs;Biogeochemical recycling;Uncultivables	淡水湖泊特别是沉积物中可能蕴含着丰富的甲烷氧化过程和碳流通途径未被揭示。大量研究显示，甲烷氧化菌对共生的异养细菌存在“选择性”，目前尚不清楚这些微生物之间非随机共存的形成机制和生态环境效应。本项目拟针对群组中常见异养细菌类群，如Flavobacterium spp.，通过富集分离-稳定同位素探针-多组学联合的手段，验证其在群组中存在的稳定性以及在甲烷氧化过程中的不可替代性，在此基础上进一步探明：（i）甲烷氧化过程的中间代谢产物在异养细菌生长和氮代谢过程的作用；（ii）共生群体中甲烷氧化菌的获利途径。本项目的实施，将阐明甲烷氧化菌与“非甲基营养”细菌之间的物种共存机制，有助于认识该微生物群组在湖泊碳氮元素耦合循环中的作用，提高对环境中甲烷氧化菌的分离能力，以及通过人工合成微生物群落开展更为广泛的应用生物技术研究。	"There are potentially uncovered methane metabolism process and carbon flux pathway in freshwater environment, especially in the sediment. Previous researches indicated that the methanotrophs are tightly co-occurrence with nonmethylotrophic heterotroph species, such as Flavobacterium spp.  in which most of the cultures remained mixed even after months of incubation and after multiple transfers with dilution. Analysis of the satellite types in select microcosms revealed the narrow and overlapping range of bacteria, suggesting that these types were non-random, and likely they were selected for under specific environmental pressures. Nothing has been known about the function of these satellite bacteria in the microbial consortia. In this work, multiple analytical methods including enrichment culture of field samples, stable isotopic probe, and an array of omics technologies will be applied to test the hypothesis that (i) the methanotrophs release organic compounds that then serve as electron donors for denitrifying process of the nonmethylotrophic heterotrophs especially under the anoxic condition. (ii) And vice versa, the methanotrophs may gain advantage in the nitrate reducing process by exchanging nitrogen species such as nitrite, nitric oxide, and/or nitrous oxide with heterotroph when the ambient oxygen concentration is very low. It is also possible that these organisms may exchange However, the nature of these excreted organics, the role of nitrate in such cooperative behavior, and whether the relationships are mutualistic or saprophytic are not known. The microbial consortia in the methane metabolism suggested cooperative behavior which deserved to be explore, which would be helpful to make clear the interaction between methane and nitrogen cycle. Seeing microbial metabolism in the community context (as opposed to pure cultures) reveals new phenotypes, helps designing synthetic communities for biotechnology, and enables cultivating the ‘uncultivables’."	
沉降在空调热交换器上的微生物气溶胶二次污染形成机制研究	21876101	环境污染与人体健康 ( B060306 )	武艳		山东大学	65.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
微生物诱导铀沉积矿化的微观行为及机理研究	21876123	环境放射化学 ( B060501 )	廖家莉		四川大学	66.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
肠道微生物群落可塑性的大数据建模和深度理解	31871334	生物数据整合与生物大数据 ( C060703 )	宁康		华中科技大学	60.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
地质微生物自然电场正演模拟与信号特征研究	41874145	勘探地球物理学 ( D040901 )	崔益安		中南大学	63.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
结直肠癌患者肠道微生物多样性及铁载体资源初探	31800002	细菌、放线菌及古菌多样性、分类及系统发育 ( C010101 )	淳于纬训		昆明医科大学	25.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
水生高等植物分解过程中微生物结构与功能多样性研究	31800386	湿地与内陆水体生态学 ( C030604 )	赵璧影		江苏大学	24.00万元	青年科学基金项目	2019 年 01 月 01 日 至 2021 年 12 月 31 日					
水体细菌微生物多波长透射光谱快速准确识别方法研究	61875254	环境光学 ( F051106 )	赵南京		中国科学院合肥物质科学研究院	63.00万元	面上项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
微生物制造过程生长代谢估计及在线监测调控	61833007	 (  )	刘飞		江南大学	283.00万元	重点项目	2019 年 01 月 01 日 至 2023 年 12 月 31 日					
肠道微生物调节昼夜节律诱导结直肠癌发生、发展的机制研究	81860437	 (  )	耿嘉蔚		云南省第一人民医院	35.00万元	地区科学基金项目	2019 年 01 月 01 日 至 2022 年 12 月 31 日					
微生物柱吸附稀土动力学与传质调控机制研究	51964021	矿物工程与物质分离 ( E0409 )	尹敬群		江西省科学院	38.00万元	地区科学基金项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
亚热带造林树种影响土壤保氮的微生物机制	41907022	土壤生物学 ( D070104 )	施秀珍		福建师范大学	23.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
APS诱导型微生物生态位调控肉鸡肠道免疫耐受机制	31972529	畜禽消化道微生物 ( C170103 )	杨小军		西北农林科技大学	57.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
碳氮交互作用影响激发效应的微生物机制研究	41901058	生物与土壤地理学 ( D010104 )	常青		东北师范大学	26.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
镉污染矿区土壤微生物淋溶修复机理研究	51904079	矿山修复工程 ( E0407 )	彭安安		佛山科学技术学院	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
基于微生物相互作用的网络效应调控物种生长研究	61902418	生物信息计算与数字健康 ( F0213 )	肖延东		中国人民解放军国防科技大学	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
微生物驱动的深海碳循环机制和生态过程研究	91951210	生物海洋学与海洋生物资源 ( D0604 )	方家松		上海海洋大学	300.00万元	重大研究计划	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
青藏高原典型湿地甲烷氧化微生物的分布与功能	91951109	微生物群落生态学 ( C030503 )	褚海燕		中国科学院南京土壤研究所	84.00万元	重大研究计划	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
载人航天器浮游微生物在线监测SERS微系统基础研究	61971074	敏感电子学与传感器 ( F0123 )	陈李		重庆大学	65.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
基于微生物多态性协同作用探索白酒固态发酵机制	31972975	食品酿造 ( C200304 )	韩北忠		中国农业大学	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物砂浆的高强机理与多尺度性能研究	51978381	岩土与基础工程 ( E0807 )	郭红仙		清华大学	60.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
昆虫共生微生物资源获取与利用技术的研究	31970483	昆虫资源与保护 ( C040605 )	邵勇奇		浙江大学	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
土壤微生物驱动的锑还原转化及其分子机制	41973074	生物地球化学 ( D0312 )	王莉瑛		中国科学院生态环境研究中心	62.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
湖泊有机聚集体附着微生物群落特征及构建机制	41971062	生物与土壤地理学 ( D010104 )	汤祥明		中国科学院南京地理与湖泊研究所	62.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
寒武纪大爆发时期的蓝细菌类微生物沉积结构	41902007	古生物学 ( D020101 )	刘伟		西北大学	25.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
旱区农田土壤自养微生物固定CO2过程途径研究	51909266	农业水利与农村水利 ( E0902 )	法科宇		中国农业大学	27.50万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
微生物诱导珊瑚幼虫附着和变态的分子机制	41976147	海洋生态学与环境科学 ( D0605 )	张燕英		烟台大学	62.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
微生物降解恩诺沙星的分子机理研究	31900097	水生环境微生物学 ( C010502 )	陈雪婷		上海市水产研究所	24.00万元	青年科学基金项目	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
基于木材微生物多样性分析的木材腐朽机理研究	31971588	木材保护和改良 ( C160302 )	马星霞		中国林业科学研究院木材工业研究所	58.00万元	面上项目	2020 年 01 月 01 日 至 2023 年 12 月 01 日					
农村型黑臭水体形成的硫循环关键功能微生物及其与碳、氮、铁循环功能微生物间的互作关系研究	91951108	微生物群落生态学 ( C030503 )	庄绪亮		中国科学院生态环境研究中心	81.00万元	重大研究计划	2020 年 01 月 01 日 至 2022 年 12 月 01 日					
金属有机框架纳米材料的制备及其微生物燃料电池应用	21775032	电分析化学基础 ( B040201 )	刘绍琴	教授	哈尔滨工业大学	65.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	微生物燃料电池；金属有机框架化合物；纳米材料；电化学性能；电化学修饰电极	microbial fuel cells;metal-organic framework;nanomaterials;electrochemical properties;electrochemical modified electrode	"微生物燃料电池（Microbial Fuel Cell，MFC）是以微生物作为催化剂将有机物蕴含的化学能转化为电能，已成为废水净化同步回收能源物质的重要研究方向。MFC具有很高的理论能量转化效率，但目前其输出功率很低，因此如何获取高输出功率的MFC已经成为国际上的研究热点。MFCs利用废水生物产电的效率受微生物胞外电子转移速率制约，而微生物胞外电子转移速率强烈地依赖于电极的微纳结构、化学组成以及物理化学性质等特性,因此通过改进、修饰电极材料或辅助介导材料（如纳米粒子），强化微生物的附着力及电子传递能力等，有望为提升废水处理MFCs产电效率提供新的突破。本项目提出利用金属有机框架化合物（MOF）的大比表面积、好的导电性以及结构和功能可调的优点，通过调控反应条件制备纳米级金属骨架有机化合物，进而通过在不同气氛下的高温热解法获得了新型的非贵金属纳米催化剂，并将其用作微生物燃料电池的阳极和阴极材料"	"Microbial fuel cells (MFCs), which convert the chemical energy of organic matter such as carbohydrate and organic acids to electricity directly using microorganisms, have received specific attention because of their dual benefit: utilizing wastewater or complex solid waste as fuel to produce electrical power as well as reducing the biochemical oxygen demand (BOD) loading of the wastewater with lower greenhouse emissions. In terms of energy balance, MFCs are able to convert about 50~90 % of energy from oxidation of organic matters directly to electricity. Unfortunately, the power density of the MFCs at present is significantly lower than the theoretical value. The observed low power should originate from current technical limitations such as the difficult electron transfer between the bacteria and the electrode, etc. The electron transfer between the bacteria and the electrode depends strongly on the microstructure, composition and physiochemical properties of the electrode. Therefore, novel material and structure design about the anodes are highly desirable in order to further improve MFCs performance and life durability for practical application. In this study, we suggest using monodisperse nanoscale metal organic frameworks as the pyrolytic precursors to develop new carbonized nanoparticles. These nanoscale materials have porous structure, controllable size and shape, the bigger surface-to-volume ratio, good conductivity, tunable structure and function, which could be used as high performance electrocatalysts for oxygen reduction and anode materials of MFCs."	
肠道微生物对布氏田鼠种群的调控作用研究	31700344	动物种群生态学 ( C030402 )	李国梁	博士后	中国科学院动物研究所	25.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	密度制约；免疫调节；肠道微生物；适合度	Density-dependence;Immunity regulation;Gut microbes;Fitness	种群密度调节是种群生态学的核心内容，过去的研究多限于外源性假说（例如食物和气候假说）和内源性假说（例如内分泌调节假说、遗传调节假说和行为领域假说），但有关肠道微生物在鼠类种群调节上的机制研究比较缺乏。随着高通量测序技术的发展，研究发现肠道微生物在宿主的生长、存活（免疫）和繁殖等方面上发挥了重要的调控作用。我们认为外因（食物、降雨和放牧）和内因（社会压力）均可通过肠道微生物的作用从而共同调节种群波动。外因通过改变动物的食物影响肠道微生物群落，而内因通过改变动物行为和激素影响肠道微生物群落。最终，肠道微生物通过影响个体适合度进而达到调节种群的作用。本项目结合野外观测实验和室内验证实验，研究布氏田鼠(Lasiopodomys brandtii) 肠道微生物对种群密度的响应及调控机制，探讨肠道微生物在种群动态中的作用。该研究有望为丰富发展鼠类种群调节理论和鼠类控制提供新的思路和方法。	"Population regulation has always been a key theme in population ecology. Both extrinsic factors (e.g., food, predation and climate) and intrinsic factors, (e.g., social stress and dispersal behaviors) have been used to explain population fluctuations. Although gut microbes play a key role in individual’s growth, survival and reproduction, the role of gut microbes in population regulation is still poorly understood. We hypothesize that extrinsic and intrinsic factors can influence the gut microbes’ community and in turn these changes in gut microbes should regulate the population density by mediating individual’s growth, survivals and reproduction. In this study, by using both field enclosure and laboratory studies, we want to reveal the mechanisms of gut microbes in regulating the population of Brandt’s voles (Lasiopodomys brandtii) and provide novel theories or methods in population regulation and control of small rodents."	
使用合成反硝化菌群探索微生物生态系统稳定性机制	31770539	微生物群落生态学 ( C030503 )	Zhili He	教授	中山大学	62.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	群落动态；群落稳定性；群落多样性；合成微生物；长期实验室进化	community dynamics;community stability;diversity;synthetic microbial community;long-term experimental evolution	"生态系统稳定性及其相关机理一直以来都是生态学和进化生物学关注的热点。合成微生物生态学使用合理的工程策略构建微生物群落。现今，对反硝化细菌已有深入研究，其种类多、分布广，在环境中起有重要作用，是构建合成微生物群落的理想选择。我们前期研究表明这些细菌能够长期共存且起到环境修复的功能。在此研究中，我们首先设计五级筛选标准, 用合成微生物生态学方法构建遗传背景清晰的反硝化细菌群落，传代至群落稳定以揭示稳定群落形成的机制。随后通过外界扰动分析合成群落多样性与稳定性的关系。最后选取稳定群落在重金属铬压力下进行长期实验室进化，并通过多种组学手段分析表现型和基因型的关系，进一步阐明维持微生物生态系统长期稳定性的机制。本研究不仅创新微生物生态学理论，而且为合成微生物学在环境治理及工业生产中的应用提供科学依据。"	"Ecosystem stability has been a spotlight in ecology and evolutionary biology, but our understanding of ecosystem stability mechanisms remains elusive. Synthetic microbial ecology aims to design microbial systems using engineering strategies, and is considered as an ideal approach for studying ecosystem stability due to their known composition and genetic background. Denitrifying bacteria exist in the environment with a large number of species and strains in all main phylogenetic groups, and play an important role in global nitrogen cycling, thus we use denitrifying bacteria to construct synthetic microbial communities in this study. Our previous studies showed that diverse denitrifying bacteria could co-exist and remediate highly contaminated sites. In this proposed study, we first develop a five-level selection strategy to construct synthetic denitrifying communities using isolates with genome sequences available for understanding microbial ecosystem stability mechanisms. Also, we will specifically test the diversity-stability relationship using synthetic denitrifying communities at five diversity levels (1, 2, 4, 8 and 16 species) in response to environmental disturbances (elevated temperature, salinity, and metal concentrations). Furthermore, we will evolve previously stabilized communities under control and elevated Cr conditions, analyze changes in their genes and genomes, link phenotypes with genotypes, and further elucidate long-term microbial ecosystem stability mechanisms. This study aims to reveal possible ecosystem stability mechanisms via synthetic microbial ecology approaches, and provide novel insights into environmental management and industrial production with synthetic microbial communities."	
盲肠微生物调控抑制猪场臭气产生的效应与机制	31772646	畜禽养殖环境与健康 ( C170801 )	王燕	副研究员	华南农业大学	60.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	臭气；盲肠微生物；猪场；菊粉；丁酸钠	Odor;Cecum microorganism;Pig farm;Inulin;Sodium butyrate	臭气是关系猪场生存的重要环境问题之一。盲肠与粪便是猪场臭气产生的主要位点，这两个位点的微生物群落相似且相关。课题组前期研究发现，饲喂菊粉和丁酸钠可分别调控猪和蛋鸡盲肠微生物，显著减少动物体臭气的排放，但最佳添加剂量及其对猪体、舍内和粪便处置过程臭气减排效应与机制还不清晰。因此，本研究以育肥猪为动物模型，采用体外发酵法，分别探明菊粉和丁酸钠调控盲肠微生物群落抑制臭气产生的最佳剂量；将菊粉和丁酸钠包膜，综合利用呼吸代谢箱、静置产臭和模拟堆肥法，明确在菊粉和丁酸钠干预下，盲肠微生物群落调控对猪场臭气的减排效应及其对育肥猪生长发育的影响；采用定量PCR、16S rRNA、代谢组学、蛋白组学、宏转录组学等技术，明确盲肠微生物调控猪场臭气产生的关键过程和关键微生物，从盲肠与粪便微生物群落丰度、臭气产生与利用通路变化、功能基因表达三方面揭示盲肠微生物调控抑制猪场臭气产生的机制，为猪场臭气减排提出新思路。	"Odor is one of the important environmental issues for pig farms survival. Pig cecum and feces is the main site for odor production and their microbial community is similarity and correlation. Our previous research had found that inulin and sodium butyrate can affect the cecum microorganism community of pig or layer and reduce animal body odor emissions. But the optimum concentration of inulin and sodium, the effect and mechanism of odor inhibition by cecum microorganism for pig body, pig house and the process of pig waste management, has still not been reported. Therefore, this study choose pig as model animal to find the optimum concentration of inulin and sodium butyrate to reduce the odor emission by in vitro fermentation test; using feeding experiment by respiratory metabolic box, collected feces for stewing and composting experiment to analysis of the odor emission by adding coated inulin and sodium butyrate to ensure the odor control effect in pig farm; using real-time PCR, 16S rRNA gene sequence, metabolomics, proteomics and macro transcription technology to ensure the key process and microbial for odor production by cecum microorganism control, from the cecum and fecal microbial abundance, the pathways of generation and use of odor and function of gene expression to expose the mechanism of odor inhibition by cecum microorganism in pig farm. It might find out a new conception for odor control in pig farm."	
根际分泌物驱动土壤有机质周转的微生物控制机制研究	31700458	根际生态学 ( C031103 )	张月玲	助理研究员	中国农业科学院农业资源与农业区划研究所	23.00万元	青年科学基金项目	2018 年 01 月 01 日 至 2020 年 12 月 31 日	激发效应；根系分泌物；土壤有机质周转；微生物群落；固体核磁共振	priming effect;root exudates;soil organic matter turnover;microbial community; solid-sate NMR	新鲜有机物转化为土壤有机质过程中土壤微生物起到关键的驱动作用。土壤微生物群落既能通过激发效应促进原有土壤有机质分解，也能通过微生物残体形成新的土壤有机质。由于难以区分土壤有机质形成和分解过程，人们对土壤有机质周转过程及效率的调控机制尚不清楚。通过添加12C和13C同位素富集标记物的培养实验，综合应用定量核磁共振和稳定同位素探针技术，本项目的研究目标包括：1）区分土壤有机质形成和分解过程，揭示模拟根际分泌物添加浓度和种类（葡萄糖和丙氨酸）的影响；2）明确土壤有机质分解的功能微生物群落和酶活性变化及其对土壤有机质分解的调控作用；3）明确土壤有机质形成的微生物来源和控制作用；4）阐明根际分泌物转化为土壤有机质效率的土壤微生物调控机制。为深入理解根际土壤有机质周转过程和优化土地利用方式，提高土壤固碳的潜力提供科学依据。	"Soil microorganism drives the transformation processes of fresh organic matter into soil organic matter. Soil microbial community can not only promote the decomposition of the native soil organic matter through priming effect, but also form new soil organic matter through microbial residues. Because it is difficult to distinguish between soil formation and decomposition process, so its regulatory mechanism of the turnover process and efficiency of soil organic matter is still unclear. The incubation experiments will use 12C and 13C-enriched marker, and apply quantitative 13C nuclear magnetic resonance and stable isotope probe technology; the objectives of this project include: 1) to distinguish the formation and decomposition process of soil organic matter, and reveal the effect of added simulated root exudates concentrations and types (Glucose and alanine); 2) to determine the effect of functional microbial community and enzyme activity changes on soil organic matter decomposition and its regulation mechanisms; 3) to determine the microbial origin and  its control mechanisms on soil organic matter formation; 4) to elucidate the microbial regulation mechanism of transformation efficiency of root exudates into soil organic matter. This study will provide scientific basis for deep understanding of rhizosphere soil organic matter circulation process, optimization of land use and improvement of soil carbon sequestration potential."	
六溴环十二烷微生物降解的分子机理研究	31770114	陆生环境微生物学 ( C010501 )	唐鸿志	教授	上海交通大学	55.00万元	面上项目	2018 年 01 月 01 日 至 2021 年 12 月 31 日	生物降解；降解机理	biodegradation;mechanism	溴代阻燃剂被广泛的应用于纺织品、塑料、电子和建筑材料中，占阻燃剂使用量的80％。六溴环十二烷（HBCD）（全球使用量第三的阻燃剂）被欧洲化学品管理局列入“高关注度化学品清单”。由于具有持久性、生物积累性和毒性，导致的环境问题日益突出，已经在全球范围内引起广泛的关注。高效降解环境中的HBCDs对于维护人类健康和环境保护具有重要意义。近年来，人们发现了在好氧或厌氧下降解HBCDs的菌群或菌株，仅仅局限于降解能力上，其降解途径、分子机理、生化机制的报道几乎没有。本项目拟以筛选获得的一株具有HBCDs（α-、β-和γ-HBCD）降解能力的铜绿假单胞菌HS9为研究对象，鉴定菌株HS9的HBCDs降解途径；通过基因组、转录组和差异蛋白组学等多组学手段，寻找HBCDs降解关键基因，研究关键酶催化机理。本项目将深度研究HBCDs降解的分子机理，对生物修复具有重要科学与实践意义。	"The brominated flame retardants (BFRS) are widely used in textile, plastics, electronics and building materials, and will take up almost 80％ of all fire retardants. Hexabromocyclododecanes (HBCDs) (the third of world’s used flame retardants) is listed on persistent organic pollutions under the Stockholm Convention. It has attracted a worldwide attention on account of its persistence, biological cumulative and toxicity. Therefore, high efficient degradation of HBCDs in environment has great significance on human health and environmental protection. In recent years, many microbes or strains can degrade HBCDs in aerobic or anaerobic condition. Reported work has limited on the degrading ability, while, there is almost no report about the degradation pathways, molecular mechanism and biochemical mechanism. Strain Pseudomonas aeruginosa HS9, which can degrade HBCDs (α-, β- and γ-HBCD) will be taken as the research object. This proposed project will be dedicated to systematic investigation on the complete pathway of HBCDs. To identify the key function genes and catalytic mechanism in this pathway, with the help of multiple omics analysis, such as genome sequencing, transcriptome analysis and differential proteomics analysis. The deeply research on molecular mechanism of HBCDs degradation will provide important scientific and practical significance for bioremediation of HBCDs."	
